,Unnamed: 0,Unnamed: 0.1,postcode,age_0_14,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85_plus,tot_P,both_par_os,both_par_aus,f_only_os,m_only_os,born_aus,born_os,diversity,suburb,lat,lon,diversity_std,age_diversity_std
0,0,0,3000,1211,15456,13736,3571,1755,1262,705,192,85,37975,0.872133405,0.09146158900000001,0.019669481000000003,0.016735525,0.164654193,0.835345807,139747.671,MELBOURNE,-37.814563,144.97026699999995,0.659538246,0.7400844873833781
1,1,1,3002,302,434,1400,722,570,668,545,178,144,4964,0.356227106,0.508699634,0.079899267,0.055173993,0.7088838270000001,0.29111617300000003,6391.271291,EAST MELBOURNE,-37.81664,144.98781100000005,0.030163564,0.9485793531881399
2,2,2,3003,390,1105,2187,836,485,265,156,55,19,5515,0.627751403,0.26586102699999997,0.056322831,0.050064739000000004,0.4691358020000001,0.530864198,13117.04284,WEST MELBOURNE,-37.806255,144.941123,0.0619058,0.8388977384926526
3,3,3,3004,566,1079,2795,1508,972,952,859,343,248,9307,0.59439437,0.317076182,0.046425485,0.042103963,0.484571711,0.515428289,20881.91598,MELBOURNE,-37.837324,144.976335,0.09855207,0.9383900153202933
4,4,4,3005,41,78,180,89,65,36,31,5,0,525,0.671834625,0.245478036,0.041343669,0.041343669,0.432642487,0.5673575129999999,1097.139535,WORLD TRADE CENTRE,-37.822262,144.954856,0.005177943,0.8940433416108574
5,5,5,3006,898,4030,7598,2725,1427,1139,711,218,60,18808,0.729421153,0.198084832,0.037873673,0.034620343,0.33888039200000003,0.661119608,54032.297,SOUTHBANK,-37.823258,144.965926,0.255005083,0.8311263236704901
6,6,6,3008,751,1938,3978,1451,1007,795,430,98,17,10437,0.7663745890000001,0.177984666,0.03033954,0.025301205,0.308681319,0.6913186809999999,31457.38258,DOCKLANDS,-37.814719000000004,144.948039,0.148462917,0.8632242663461883
7,7,7,3010,9,1414,107,14,15,22,16,0,0,1593,0.34236616,0.479841375,0.088565763,0.08922670199999999,0.665789474,0.334210526,2541.293787,UNIVERSITY OF MELBOURNE,-37.796152,144.961351,0.01199362,0.08524232185415084
8,8,8,3011,2686,3116,6028,3600,2269,1737,972,681,397,21462,0.572701519,0.314859645,0.063095545,0.049343291,0.53774991,0.46225009,44971.88676,SEDDON WEST,-37.795059,144.866197,0.21224453399999998,0.939019943983664
9,9,9,3011,2686,3116,6028,3600,2269,1737,972,681,397,21462,0.572701519,0.314859645,0.063095545,0.049343291,0.53774991,0.46225009,44971.88676,SEDDON,-37.808769,144.895486,0.21224453399999998,0.939019943983664
10,10,10,3011,2686,3116,6028,3600,2269,1737,972,681,397,21462,0.572701519,0.314859645,0.063095545,0.049343291,0.53774991,0.46225009,44971.88676,FOOTSCRAY,-37.79977,144.89958700000003,0.21224453399999998,0.939019943983664
11,11,11,3012,4455,3181,6132,4600,3074,2220,1262,899,461,26298,0.576094995,0.310337743,0.06586408099999999,0.04770318,0.568863007,0.43113699299999997,52936.89864,KINGSVILLE,-37.812635,144.881803,0.24983535699999998,0.9547386936018247
12,12,12,3012,4455,3181,6132,4600,3074,2220,1262,899,461,26298,0.576094995,0.310337743,0.06586408099999999,0.04770318,0.568863007,0.43113699299999997,52936.89864,MAIDSTONE,-37.782096,144.874299,0.24983535699999998,0.9547386936018247
13,13,13,3012,4455,3181,6132,4600,3074,2220,1262,899,461,26298,0.576094995,0.310337743,0.06586408099999999,0.04770318,0.568863007,0.43113699299999997,52936.89864,WEST FOOTSCRAY,-37.797701,144.879924,0.24983535699999998,0.9547386936018247
14,14,14,3012,4455,3181,6132,4600,3074,2220,1262,899,461,26298,0.576094995,0.310337743,0.06586408099999999,0.04770318,0.568863007,0.43113699299999997,52936.89864,KINGSVILLE WEST,-37.795059,144.866197,0.24983535699999998,0.9547386936018247
15,15,15,3012,4455,3181,6132,4600,3074,2220,1262,899,461,26298,0.576094995,0.310337743,0.06586408099999999,0.04770318,0.568863007,0.43113699299999997,52936.89864,BROOKLYN,-37.814624,144.84710800000005,0.24983535699999998,0.9547386936018247
16,16,16,3012,4455,3181,6132,4600,3074,2220,1262,899,461,26298,0.576094995,0.310337743,0.06586408099999999,0.04770318,0.568863007,0.43113699299999997,52936.89864,TOTTENHAM,-37.799065,144.857829,0.24983535699999998,0.9547386936018247
17,17,17,3013,2823,1397,2698,2994,2148,1289,712,566,322,14965,0.377882152,0.46377739799999995,0.09500427,0.06333618,0.734660388,0.265339612,18596.37116,YARRAVILLE WEST,-37.818019,144.88358200000005,0.08776545599999999,0.9598088093179012
18,18,18,3013,2823,1397,2698,2994,2148,1289,712,566,322,14965,0.377882152,0.46377739799999995,0.09500427,0.06333618,0.734660388,0.265339612,18596.37116,YARRAVILLE,-37.816178,144.889774,0.08776545599999999,0.9598088093179012
19,19,19,3015,3649,1653,2648,3381,2518,1794,941,559,316,17472,0.36160957,0.482991964,0.09129357699999999,0.064104888,0.7546851459999999,0.245314854,20356.31793,SOUTH KINGSVILLE,-37.833627,144.87074199999995,0.09607151300000001,0.9605687063389726
20,20,20,3015,3649,1653,2648,3381,2518,1794,941,559,316,17472,0.36160957,0.482991964,0.09129357699999999,0.064104888,0.7546851459999999,0.245314854,20356.31793,NEWPORT,-37.842477,144.88314499999996,0.09607151300000001,0.9605687063389726
21,21,21,3015,3649,1653,2648,3381,2518,1794,941,559,316,17472,0.36160957,0.482991964,0.09129357699999999,0.064104888,0.7546851459999999,0.245314854,20356.31793,SPOTSWOOD,-37.82967,144.885078,0.09607151300000001,0.9605687063389726
22,22,22,3016,2942,1913,1411,2041,2747,2200,1351,626,329,15560,0.331125828,0.52078924,0.088004369,0.060080563,0.7746844079999999,0.22531559199999998,16511.2155,WILLIAMSTOWN NORTH,-37.857681,144.88704099999995,0.07792457700000001,0.9765887999533704
23,23,23,3016,2942,1913,1411,2041,2747,2200,1351,626,329,15560,0.331125828,0.52078924,0.088004369,0.060080563,0.7746844079999999,0.22531559199999998,16511.2155,WILLIAMSTOWN,-37.85690200000001,144.897698,0.07792457700000001,0.9765887999533704
24,24,24,3018,2094,1128,1663,1973,1791,1546,1274,825,373,12689,0.422070822,0.437042644,0.083522584,0.05736395,0.6961493190000001,0.303850681,18071.47754,ALTONA,-37.869275,144.830286,0.08528822400000001,0.9905247077909318
25,25,25,3018,2094,1128,1663,1973,1791,1546,1274,825,373,12689,0.422070822,0.437042644,0.083522584,0.05736395,0.6961493190000001,0.303850681,18071.47754,SEAHOLME,-37.867992,144.84360900000001,0.08528822400000001,0.9905247077909318
26,26,26,3019,1691,1478,1834,1259,1043,945,556,272,114,9195,0.828829887,0.12828947400000001,0.021851504,0.021029135,0.39171485899999997,0.608285141,25772.55081,BRAYBROOK NORTH,-37.84536,144.894555,0.12163339,0.9638304601948823
27,27,27,3019,1691,1478,1834,1259,1043,945,556,272,114,9195,0.828829887,0.12828947400000001,0.021851504,0.021029135,0.39171485899999997,0.608285141,25772.55081,ROBINSON,-37.834094,145.040941,0.12163339,0.9638304601948823
28,28,28,3019,1691,1478,1834,1259,1043,945,556,272,114,9195,0.828829887,0.12828947400000001,0.021851504,0.021029135,0.39171485899999997,0.608285141,25772.55081,BRAYBROOK,-37.77930900000001,144.85535900000005,0.12163339,0.9638304601948823
29,29,29,3020,7736,6129,8339,6136,5226,4528,3496,2256,928,44783,0.77851152,0.156295189,0.035693628,0.029499663,0.429840701,0.570159299,117757.4333,GLENGALA,-37.788346000000004,144.809505,0.555755459,0.979417343526894
30,30,30,3020,7736,6129,8339,6136,5226,4528,3496,2256,928,44783,0.77851152,0.156295189,0.035693628,0.029499663,0.429840701,0.570159299,117757.4333,ALBION,-37.775954,144.819395,0.555755459,0.979417343526894
31,31,31,3020,7736,6129,8339,6136,5226,4528,3496,2256,928,44783,0.77851152,0.156295189,0.035693628,0.029499663,0.429840701,0.570159299,117757.4333,SUNSHINE NORTH,-37.768904,144.83025800000001,0.555755459,0.979417343526894
32,32,32,3020,7736,6129,8339,6136,5226,4528,3496,2256,928,44783,0.77851152,0.156295189,0.035693628,0.029499663,0.429840701,0.570159299,117757.4333,SUNSHINE WEST,-37.79983,144.81845,0.555755459,0.979417343526894
33,33,33,3021,9491,7821,9013,6780,6461,6422,4948,2522,735,54191,0.831018983,0.108460087,0.035257053,0.025263876,0.395593268,0.6044067320000001,149227.5838,ST ALBANS,-37.745063,144.799626,0.704278635,0.9810858923145838
34,34,34,3021,9491,7821,9013,6780,6461,6422,4948,2522,735,54191,0.831018983,0.108460087,0.035257053,0.025263876,0.395593268,0.6044067320000001,149227.5838,KEALBA,-37.742331,144.825918,0.704278635,0.9810858923145838
35,35,35,3021,9491,7821,9013,6780,6461,6422,4948,2522,735,54191,0.831018983,0.108460087,0.035257053,0.025263876,0.395593268,0.6044067320000001,149227.5838,ALBANVALE,-37.74593400000001,144.770027,0.704278635,0.9810858923145838
36,36,36,3021,9491,7821,9013,6780,6461,6422,4948,2522,735,54191,0.831018983,0.108460087,0.035257053,0.025263876,0.395593268,0.6044067320000001,149227.5838,KINGS PARK,-37.734277,144.780872,0.704278635,0.9810858923145838
37,37,37,3022,554,347,631,439,325,296,242,148,117,3103,0.7204861109999999,0.192361111,0.054861111,0.032291667,0.5020949720000001,0.49790502799999997,7132.2921879999985,ARDEER,-37.782920000000004,144.801018,0.033660808,0.9781979668695882
38,38,38,3022,554,347,631,439,325,296,242,148,117,3103,0.7204861109999999,0.192361111,0.054861111,0.032291667,0.5020949720000001,0.49790502799999997,7132.2921879999985,DEER PARK EAST,-37.74081500000001,144.797867,0.033660808,0.9781979668695882
39,39,39,3023,15303,8430,10000,11485,8054,5602,3317,1349,421,63972,0.71877645,0.191894911,0.052358059000000005,0.036970578999999996,0.5323379779999999,0.467662022,140642.2903,CAROLINE SPRINGS,-37.74124000000001,144.736311,0.663760396,0.9479220956437434
